Country,Country Code,Continent,Region,Year,Population,Emissions,Emissions Per Capita
Bangladesh,50,Asia,Southern Asia,2009,,,
Bangladesh,50,Asia,Southern Asia,2008,,,
Bangladesh,50,Asia,Southern Asia,2007,,,
Bangladesh,50,Asia,Southern Asia,2006,,,
Bangladesh,50,Asia,Southern Asia,2005,,,
Bangladesh,50,Asia,Southern Asia,2004,,,
Bangladesh,50,Asia,Southern Asia,2003,,,
Bangladesh,50,Asia,Southern Asia,2002,,,
Bangladesh,50,Asia,Southern Asia,2001,,,
Bangladesh,50,Asia,Southern Asia,2000,,,
Bangladesh,50,Asia,Southern Asia,1999,,,
Bangladesh,50,Asia,Southern Asia,1998,,,
Bangladesh,50,Asia,Southern Asia,1997,,,
Bangladesh,50,Asia,Southern Asia,1996,,,
Bangladesh,50,Asia,Southern Asia,1995,,,
Bangladesh,50,Asia,Southern Asia,1994,,,
Bangladesh,50,Asia,Southern Asia,1993,,,
Bangladesh,50,Asia,Southern Asia,1992,,,
Bangladesh,50,Asia,Southern Asia,1991,,,
Bangladesh,50,Asia,Southern Asia,1990,,,
Barbados,52,Americas,Caribbean,2011,,,
Barbados,52,Americas,Caribbean,2010,,,
Barbados,52,Americas,Caribbean,2009,,,
Barbados,52,Americas,Caribbean,2008,,,
Barbados,52,Americas,Caribbean,2007,,,
Barbados,52,Americas,Caribbean,2006,,,
Barbados,52,Americas,Caribbean,2005,,,
Barbados,52,Americas,Caribbean,2004,,,
Barbados,52,Americas,Caribbean,2003,,,
Barbados,52,Americas,Caribbean,2002,,,
Barbados,52,Americas,Caribbean,2001,,,
Barbados,52,Americas,Caribbean,2000,,,
Barbados,52,Americas,Caribbean,1999,,,
Barbados,52,Americas,Caribbean,1998,,,
Barbados,52,Americas,Caribbean,1997,,,
Barbados,52,Americas,Caribbean,1996,,,
Barbados,52,Americas,Caribbean,1995,,,
Barbados,52,Americas,Caribbean,1994,,,
Barbados,52,Americas,Caribbean,1993,,,
Barbados,52,Americas,Caribbean,1992,,,
Barbados,52,Americas,Caribbean,1991,,,
Barbados,52,Americas,Caribbean,1990,,,
Belarus,112,Europe,Eastern Europe,2011,,,
Belarus,112,Europe,Eastern Europe,2010,,,
Belarus,112,Europe,Eastern Europe,2009,,,
Belarus,112,Europe,Eastern Europe,2008,,,
Belarus,112,Europe,Eastern Europe,2007,,,
Belarus,112,Europe,Eastern Europe,2006,,,
Belarus,112,Europe,Eastern Europe,2005,,,
Belarus,112,Europe,Eastern Europe,2004,,,
Belarus,112,Europe,Eastern Europe,2003,,,
Belarus,112,Europe,Eastern Europe,2002,,,
Belarus,112,Europe,Eastern Europe,2001,,,
Belarus,112,Europe,Eastern Europe,2000,,,
Belarus,112,Europe,Eastern Europe,1999,,,
Belarus,112,Europe,Eastern Europe,1998,,,
Belarus,112,Europe,Eastern Europe,1997,,,
Belarus,112,Europe,Eastern Europe,1996,,,
Belarus,112,Europe,Eastern Europe,1995,,,
Belarus,112,Europe,Eastern Europe,1994,,,
Belarus,112,Europe,Eastern Europe,1993,,,
Belarus,112,Europe,Eastern Europe,1992,,,
Belgium,56,Europe,Western Europe,2011,,,
Belgium,56,Europe,Western Europe,2010,,,
Belgium,56,Europe,Western Europe,2009,,,
Belgium,56,Europe,Western Europe,2008,,,
Belgium,56,Europe,Western Europe,2007,,,
Belgium,56,Europe,Western Europe,2006,,,
Belgium,56,Europe,Western Europe,2005,,,
Belgium,56,Europe,Western Europe,2004,,,
Belgium,56,Europe,Western Europe,2003,,,
Belgium,56,Europe,Western Europe,2002,,,
Belgium,56,Europe,Western Europe,2001,,,
Belgium,56,Europe,Western Europe,2000,,,
Belgium,56,Europe,Western Europe,1999,,,
Belgium,56,Europe,Western Europe,1998,,,
Belgium,56,Europe,Western Europe,1997,,,
Belgium,56,Europe,Western Europe,1996,,,
Belgium,56,Europe,Western Europe,1995,,,
Belgium,56,Europe,Western Europe,1994,,,
Belgium,56,Europe,Western Europe,1993,,,
Belgium,56,Europe,Western Europe,1992,,,
Belgium,56,Europe,Western Europe,1991,,,
Belgium,56,Europe,Western Europe,1990,,,
Belize,84,Americas,Central America,2011,,,
Belize,84,Americas,Central America,2010,,,
Belize,84,Americas,Central America,2009,,,
Belize,84,Americas,Central America,2008,,,
Belize,84,Americas,Central America,2007,,,
Belize,84,Americas,Central America,2006,,,
Belize,84,Americas,Central America,2005,,,
Belize,84,Americas,Central America,2004,,,
Belize,84,Americas,Central America,2003,,,
Belize,84,Americas,Central America,2002,,,
Belize,84,Americas,Central America,2001,,,
Belize,84,Americas,Central America,2000,,,
Belize,84,Americas,Central America,1999,,,
Belize,84,Americas,Central America,1998,,,
Belize,84,Americas,Central America,1997,,,
Belize,84,Americas,Central America,1996,,,
Belize,84,Americas,Central America,1995,,,
Belize,84,Americas,Central America,1994,,,
Belize,84,Americas,Central America,1993,,,
Belize,84,Americas,Central America,1992,,,
Belize,84,Americas,Central America,1991,,,
Belize,84,Americas,Central America,1990,,,
Benin,204,Africa,Western Africa,2011,,,
Benin,204,Africa,Western Africa,2010,,,
Benin,204,Africa,Western Africa,2009,,,
Benin,204,Africa,Western Africa,2008,,,
Benin,204,Africa,Western Africa,2007,,,
Benin,204,Africa,Western Africa,2006,,,
Benin,204,Africa,Western Africa,2005,,,
Benin,204,Africa,Western Africa,2004,,,
Benin,204,Africa,Western Africa,2003,,,
Benin,204,Africa,Western Africa,2002,,,
Benin,204,Africa,Western Africa,2001,,,
Benin,204,Africa,Western Africa,2000,,,
Benin,204,Africa,Western Africa,1999,,,
Benin,204,Africa,Western Africa,1998,,,
Benin,204,Africa,Western Africa,1997,,,
Benin,204,Africa,Western Africa,1996,,,
Benin,204,Africa,Western Africa,1995,,,
Benin,204,Africa,Western Africa,1994,,,
Benin,204,Africa,Western Africa,1993,,,
Benin,204,Africa,Western Africa,1992,,,
Benin,204,Africa,Western Africa,1991,,,
Benin,204,Africa,Western Africa,1990,,,
Bermuda,60,Americas,Northern America,2011,,,
Bermuda,60,Americas,Northern America,2010,,,
Bermuda,60,Americas,Northern America,2009,,,
Bermuda,60,Americas,Northern America,2008,,,
Bermuda,60,Americas,Northern America,2007,,,
Bermuda,60,Americas,Northern America,2006,,,
Bermuda,60,Americas,Northern America,2005,,,
Bermuda,60,Americas,Northern America,2004,,,
Bermuda,60,Americas,Northern America,2003,,,
Bermuda,60,Americas,Northern America,2002,,,
Bermuda,60,Americas,Northern America,2001,,,
Bermuda,60,Americas,Northern America,2000,,,
Bermuda,60,Americas,Northern America,1999,,,
Bermuda,60,Americas,Northern America,1998,,,
Bermuda,60,Americas,Northern America,1997,,,
Bermuda,60,Americas,Northern America,1996,,,
Bermuda,60,Americas,Northern America,1995,,,
Bermuda,60,Americas,Northern America,1994,,,
Bermuda,60,Americas,Northern America,1993,,,
Bermuda,60,Americas,Northern America,1992,,,
Bermuda,60,Americas,Northern America,1991,,,
Bermuda,60,Americas,Northern America,1990,,,
Bhutan,64,Asia,Southern Asia,2011,,,
Bhutan,64,Asia,Southern Asia,2010,,,
Bhutan,64,Asia,Southern Asia,2009,,,
Bhutan,64,Asia,Southern Asia,2008,,,
Bhutan,64,Asia,Southern Asia,2007,,,
Bhutan,64,Asia,Southern Asia,2006,,,
Bhutan,64,Asia,Southern Asia,2005,,,
Bhutan,64,Asia,Southern Asia,2004,,,
Bhutan,64,Asia,Southern Asia,2003,,,
Bhutan,64,Asia,Southern Asia,2002,,,
Bhutan,64,Asia,Southern Asia,2001,,,
Bhutan,64,Asia,Southern Asia,2000,,,
Bhutan,64,Asia,Southern Asia,1999,,,
Bhutan,64,Asia,Southern Asia,1998,,,
Bhutan,64,Asia,Southern Asia,1997,,,
Bhutan,64,Asia,Southern Asia,1996,,,
Bhutan,64,Asia,Southern Asia,1995,,,
Bhutan,64,Asia,Southern Asia,1994,,,
Bhutan,64,Asia,Southern Asia,1993,,,
Bhutan,64,Asia,Southern Asia,1992,,,
Bhutan,64,Asia,Southern Asia,1991,,,
Bhutan,64,Asia,Southern Asia,1990,,,
Bolivia,68,Americas,South America,2011,,,
Bolivia,68,Americas,South America,2010,,,
Bolivia,68,Americas,South America,2009,,,
Bolivia,68,Americas,South America,2008,,,
Bolivia,68,Americas,South America,2007,,,
Bolivia,68,Americas,South America,2006,,,
Bolivia,68,Americas,South America,2005,,,
Bolivia,68,Americas,South America,2004,,,
Bolivia,68,Americas,South America,2003,,,
Bolivia,68,Americas,South America,2002,,,
Bolivia,68,Americas,South America,2001,,,
Bolivia,68,Americas,South America,2000,,,
Bolivia,68,Americas,South America,1999,,,
Bolivia,68,Americas,South America,1998,,,
Bolivia,68,Americas,South America,1997,,,
Bolivia,68,Americas,South America,1996,,,
Bolivia,68,Americas,South America,1995,,,
Bolivia,68,Americas,South America,1994,,,
Bolivia,68,Americas,South America,1993,,,
Bolivia,68,Americas,South America,1992,,,
Bolivia,68,Americas,South America,1991,,,
Bolivia,68,Americas,South America,1990,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2011,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2010,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2009,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2008,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2007,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2006,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2005,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2004,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2003,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2002,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2001,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,2000,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,1999,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,1998,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,1997,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,1996,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,1995,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,1994,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,1993,,,
Bosnia and Herzegovina,70,Europe,Southern Europe,1992,,,
Botswana,72,Africa,Southern Africa,2011,,,
Botswana,72,Africa,Southern Africa,2010,,,
Botswana,72,Africa,Southern Africa,2009,,,
Botswana,72,Africa,Southern Africa,2008,,,
Botswana,72,Africa,Southern Africa,2007,,,
Botswana,72,Africa,Southern Africa,2006,,,
Botswana,72,Africa,Southern Africa,2005,,,
Botswana,72,Africa,Southern Africa,2004,,,
Botswana,72,Africa,Southern Africa,2003,,,
Botswana,72,Africa,Southern Africa,2002,,,
Botswana,72,Africa,Southern Africa,2001,,,
Botswana,72,Africa,Southern Africa,2000,,,
Botswana,72,Africa,Southern Africa,1999,,,
Botswana,72,Africa,Southern Africa,1998,,,
Botswana,72,Africa,Southern Africa,1997,,,
Botswana,72,Africa,Southern Africa,1996,,,
Botswana,72,Africa,Southern Africa,1995,,,
Botswana,72,Africa,Southern Africa,1994,,,
Botswana,72,Africa,Southern Africa,1993,,,
Botswana,72,Africa,Southern Africa,1992,,,
Botswana,72,Africa,Southern Africa,1991,,,
Botswana,72,Africa,Southern Africa,1990,,,
