Country_Name,Country_Code,pop_1990,emissions_90,pop_1991,emissions_91,pop_1992,emissions_92,pop_1993,emissions_93,pop_1994,emissions_94,pop_1995,emissions_95,pop_1996,emissions_96,pop_1997,emissions_97,pop_1998,emissions_98,pop_1999,emissions_99,pop_2000,emissions_00,pop_2001,emissions_01,pop_2002,emissions_02,pop_2003,emissions_03,pop_2004,emissions_04,pop_2005,emissions_05,pop_2006,emissions_06,pop_2007,emissions_07,pop_2008,emissions_08,pop_2009,emissions_09,pop_2010,emissions_10,pop_2011,emissions_11,pop_2012,emissions_12
Barbados,BRB,260374,128619,261275,126948,262184,125880,263089,123372,264015,123580,264959,123837,265942,124024,266945,111406,267950,113956,268922,117105,269847,121071,270685,106719,271478,105882,272258,104898,273091,99503.1,274009,103249,275039,101042,276150,103080,277319,103598,278470,105803,279569,107243,280601,108315.43000000001,281585,109387.86
"Brunei Darussalam",BRN,258785,3611250,266274,3695320,273963,4173590,281751,3855170,289525,3829260,297192,4191140.0000000005,304699,3898590,312038,3914000,319222,7163450,326289,3964270,333241,3881730,340117,4047020,346867,4015770,353389,4266330,359523,4135800,365158,4570730,370250,4499680,374864,4333040,379252,4652140,383772,4429970,388662,4450360,394013,4494863.6,399748,4539367.199999999
Bhutan,BTN,537280,918942,537284,910801,531525,1195840,523117,1192970,516503,1190050,514877,1154710,519282,1154010,528754,1056380,542155,1070870,557543,1247890,573416,1032400.0000000001,589600,948136,606399,1010490,623434,912517,640282,1016320,656639,1033109.9999999999,672228,1256190,686958,1118850,700950,1203310,714458,1358170,727641,1734980,740510,1752329.8,752967,1769679.5999999999
Botswana,BWA,1377912,6074010,1416731,4876540,1455833,6693470,1494693,4024460,1532622,4836680,1569094,5429500,1604060,4568760,1637635,4458000,1669625,3974150,1699862,4125600.0000000005,1728340,3941210,1754935,5161820,1779953,5879150,1804339,4367600,1829330,4429640,1855852,4657860,1884238,3850230,1914414,3936470,1946351,3875370,1979882,4163790,2014866,4360950,2051339,4404559.5,2089315,4448169
"Central African Republic",CAF,2939780,42252800,3014624,28539500,3095807,36670800,3181222,32322800,3267670,31685400,3352767,37658100,3435821,36284900,3517309,37143300,3597385,22640200,3676508,24269500,3754986,26663300,3832203,36482500,3907612,23758800,3981665,26071800,4055036,24080100,4127910,25739800,4201758,91775700,4275800,147533000,4345386,97375600,4404230,73694500,4448525,83996900,4476153,84836869,4490416,85676838
Canada,CAN,27791000,77163500,28171682,81474000,28519597,83400600,28833410,89389900,29111906,104467000,29354000,109622000,29671900,97909600,29987200,98142200,30247900,114948000,30499200,104782000,30769700,102170000,31081900,103053000,31362000,106819000,31676000,111137000,31995000,114500000,32312000,108519000,32570505,107954000,32887928,107975000,33245773,107850000,33628571,103829000,34005274,104529000,34342780,105687662.2,34750545,106846774.30000001
Switzerland,CHE,6715519,5907070,6799978,5865670,6875364,5749270,6938265,5666060,6993795,5695960,7040687,5613280,7071850,5576610,7088906,5386850,7110001,5328370,7143991,5155530,7184250,5126480,7229854,5150730,7284753,5084650,7339001,4975490,7389625,4977710,7437115,4954170,7483934,4945070,7551117,4953020,7647675,4946620,7743831,4897930,7824909,4992300,7912398,4902809.876999999,7996861,4900250.754
Chile,CHL,13242132,11988500,13457244,12149800,13671033,12505300,13882668,13353400,14091389,13968500,14296613,14502000,14497826,15107400,14694835,15788500,14887756,15907900,15076952,16781900,15262754,16928800,15444969,17474700,15623635,17621800,15799542,17592600,15973778,17745300,16147064,18196600,16319792,18389400,16491687,17972400,16661942,17995000,16829442,18106900,16993354,18020100,17153357,18200301,17309746,18380502
China,CHN,1135185000,1016910000,1150780000,1013520000,1164970000,1010330000,1178440000,1002980000,1191835000,1020310000,1204855000,1075420000,1217550000,1093470000,1230075000,1066800000,1241935000,1060240000,1252735000,1055950000,1262645000,1043400000,1271850000,1051690000,1280400000,1085790000,1288400000,1146530000,1296075000,1251300000,1303720000,1327790000,1311020000,1392640000,1317885000,1444170000,1324655000,1537220000,1331260000,1582750000,1337705000,1642260000,1344130000,1697274470,1350695000,1752290140
"Cote d'Ivoire",CIV,12267754,12146200,12710008,9723420,13163019,11411800,13622731,10598300,14083611,10766000,14540820,12079700,14995249,11969200,15445986,12334100,15884552,12005400,16300233,10615900,16686561,14236900,17040152,13551200,17366517,13371700,17679355,10335600,17997738,10706800,18336303,12474400,18699435,13177900,19085941,13617400,19497986,14488500,19936366,14957300,20401331,15946700,20895311,16106167,21418603,16265634
